Stim,Condition,ITI
R_c_E_P_30.bmp,no-go,2.5
R_c_E_P_08.bmp,no-go,2.5
L_c_E_P_27.bmp,go,3.1
R_c_NE_P_46.bmp,no-go,2.8
L_c_E_P_05.bmp,go,3.1
L_c_NE_P_51.bmp,go,2.5
R_c_NE_P_30.bmp,no-go,3.4
R_c_E_P_21.bmp,no-go,3.4
R_c_NE_P_25.bmp,no-go,3.1
R_c_E_P_48.bmp,no-go,2.5
R_c_NE_P_51.bmp,no-go,4
R_c_E_P_22.bmp,no-go,3.7
L_c_NE_P_16.bmp,go,2.8
R_c_NE_P_32.bmp,no-go,4
R_c_E_P_33.bmp,no-go,2.5
L_c_NE_P_50.bmp,go,3.1
blank,blank,5
R_c_E_P_25.bmp,no-go,3.1
R_c_E_P_51.bmp,no-go,2.8
R_c_NE_P_42.bmp,no-go,3.1
R_c_E_P_45.bmp,no-go,3.7
L_c_E_P_49.bmp,go,3.7
foot.bmp,oddball,3.4
R_c_NE_P_35.bmp,no-go,3.7
R_c_NE_P_13.bmp,no-go,3.4
R_c_E_P_39.bmp,no-go,3.7
R_c_E_P_32.bmp,no-go,2.8
R_c_E_P_44.bmp,no-go,4
R_c_E_P_07.bmp,no-go,2.5
R_c_E_P_46.bmp,no-go,3.7
R_c_NE_P_39.bmp,no-go,3.1
R_c_E_P_23.bmp,no-go,2.8
L_c_E_P_31.bmp,go,2.5
foot.bmp,oddball,3.4
R_c_NE_P_44.bmp,no-go,3.4
L_c_E_P_33.bmp,go,3.4
R_c_NE_P_29.bmp,no-go,3.7
blank,blank,5
R_c_NE_P_09.bmp,no-go,4
R_c_NE_P_56.bmp,no-go,4
R_c_E_P_36.bmp,no-go,3.7
R_c_E_P_27.bmp,no-go,2.8
foot.bmp,oddball,2.5
L_c_NE_P_09.bmp,go,2.5
R_c_E_P_47.bmp,no-go,3.7
R_c_NE_P_03.bmp,no-go,2.5
R_c_E_P_42.bmp,no-go,2.8
R_c_E_P_03.bmp,no-go,3.7
L_c_E_P_44.bmp,go,2.8
R_c_NE_P_05.bmp,no-go,3.1
R_c_NE_P_23.bmp,no-go,3.4
R_c_NE_P_41.bmp,no-go,2.5
R_c_NE_P_19.bmp,no-go,4
R_c_E_P_11.bmp,no-go,2.8
R_c_E_P_38.bmp,no-go,2.5
R_c_E_P_02.bmp,no-go,3.1
R_c_E_P_06.bmp,no-go,3.7
L_c_NE_P_03.bmp,go,3.1
blank,blank,5
R_c_E_P_04.bmp,no-go,3.1
R_c_NE_P_50.bmp,no-go,3.4
blank,blank,5
R_c_E_P_49.bmp,no-go,4
R_c_NE_P_24.bmp,no-go,2.8
blank,blank,5
R_c_E_P_05.bmp,no-go,2.5
blank,blank,5
R_c_E_P_28.bmp,no-go,3.4
blank,blank,5
foot.bmp,oddball,2.8
R_c_E_P_26.bmp,no-go,2.5
R_c_NE_P_45.bmp,no-go,3.1
R_c_NE_P_48.bmp,no-go,4
blank,blank,5
R_c_NE_P_16.bmp,no-go,3.7
R_c_NE_P_54.bmp,no-go,2.5
foot.bmp,no-go,2.8
foot.bmp,oddball,2.8
R_c_NE_P_15.bmp,no-go,3.7
L_c_NE_P_45.bmp,go,4
R_c_NE_P_53.bmp,no-go,3.4
blank,blank,5
blank,blank,5
R_c_NE_P_21.bmp,no-go,2.5
R_c_E_P_31.bmp,no-go,3.4
R_c_NE_P_04.bmp,no-go,2.8
R_c_NE_P_37.bmp,no-go,2.5
blank,blank,5
blank,blank,5
